Datum,Uhrzeit,Ort,Google Maps Link
29.09.2021,19.30h,Recklinghausen Ruhrfestspielhaus,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Recklinghausen Ruhrfestspielhaus, Otto-Burmeister-Allee 1, 45657 Recklinghausen"
05.10.2021,18.00h,Marl Theater,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Marl Theater, Am Theater 1, 45768 Marl"
06.10.2021,10.00h,Marl Theater,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Marl Theater, Am Theater 1, 45768 Marl"
07.10.2021,13.30h,Castrop-Rauxel Stadthalle,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Castrop-Rauxel Stadthalle, Europaplatz, 44575 Castrop-Rauxel"
08.10.2021,9.00h,Castrop-Rauxel Stadthalle,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Castrop-Rauxel Stadthalle, Europaplatz, 44575 Castrop-Rauxel"
09.11.2021,19.00h,Meinerzhagen Stadthalle,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Meinerzhagen Stadthalle, Otto-Fuchs-Platz 1, 58540 Meinerzhagen"
15.11.2021,20.00h,Minden Stadttheater,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Minden Stadttheater, Tonhallenstraße 3, 32423 Minden"
16.11.2021,15.00h,Minden Stadttheater,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Minden Stadttheater, Tonhallenstraße 3, 32423 Minden"
16.11.2021,11.00h,Minden Stadttheater,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Minden Stadttheater, Tonhallenstraße 3, 32423 Minden"
23.11.2021,20.00h,Viersen Festhalle,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Viersen Festhalle, Hermann-Hülser-Platz 1, 41747 Viersen"
16.12.2021,20.00h,Olpe Stadthalle,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Olpe Stadthalle, Pannenklöpperstr. 4, 57462 Olpe"
12.01.2022,10.00h,Düren Theater,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Düren Theater, Stefan-Schwer-Straße 4, 52349 Düren"
12.01.2022,13.30h,Düren Theater,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Düren Theater, Stefan-Schwer-Straße 4, 52349 Düren"
10.02.2022,16.00h,Rheine Stadthalle,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Rheine Stadthalle, Humboldplatz 10, 48429 Rheine"
10.02.2022,19.30h,Rheine Stadthalle,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Rheine Stadthalle, Humboldplatz 10, 48429 Rheine"
20.09.2022,11.00h,Iserlohn Parktheater,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Iserlohn Parktheater, Alexanderhöhe 3 /Südstraße, 58644 Iserlohn"
09.11.2022,12.45h,Espelkamp Neues Theater,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Espelkamp Neues Theater, Trakehner Str. 1, 32339 Espelkamp"
15.11.2022,18.00h,Marl Theater,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Marl Theater, Am Theater 1, 45768 Marl"
17.01.2023,19.30h,Solingen Theater und Konzerthaus,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Solingen Theater und Konzerthaus, Konrad-Adenauer-Straße 71, 42651 Solingen"
03.02.2023,10.00h,Düren Theater,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Düren Theater, Stefan-Schwer-Straße 4, 52349 Düren"
03.02.2023,13.30h,Düren Theater,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Düren Theater, Stefan-Schwer-Straße 4, 52349 Düren"
13.02.2023,13.30h,Castrop-Rauxel Studio,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Castrop-Rauxel Studio, Europaplatz, 44575 Castrop-Rauxel"
27.06.2021,14.00h,Cube 521 Marnach,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Cube 521 Marnach, 1-3 Driicht, 9764 Marnach"
27.06.2021,16.00h,Cube 521 Marnach,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Cube 521 Marnach, 1-3 Driicht, 9764 Marnach"
28.06.2021,14.15h,Cube 521 Marnach,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Cube 521 Marnach, 1-3 Driicht, 9764 Marnach"
28.06.2021,10.00h,Cube 521 Marnach,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Cube 521 Marnach, 1-3 Driicht, 9764 Marnach"
29.06.2021,10.00h,Cube 521 Marnach,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Cube 521 Marnach, 1-3 Driicht, 9764 Marnach"
23.09.2021,15.00h,Nettetal Seerosensaal,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Nettetal Seerosensaal, Steegerstraße 38, 41334 Nettetal"
24.06.2021,18.00h,Schwedt Uckermärkische Bühne - Kleiner Saal,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Schwedt Uckermärkische Bühne - Kleiner Saal, Berliner Straße 46/48, 16303 Schwedt"
02.09.2021,10.00h,Delbrück Stadthalle,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Delbrück Stadthalle, Boker Straße 6, 33129 Delbrück"
26.04.2022,16.00h,Herne Kulturzentrum,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Herne Kulturzentrum, Willi-Pohlmann-Platz 1, 44623 Herne"
12.05.2022,10.00h,Nordhorn Konzert und Theatersaal,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Nordhorn Konzert und Theatersaal, Ootmarsumer Weg 14 , 48527 Nordhorn"
23.06.2022,11.00h,Marl Theater,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Marl Theater, Am Theater 1, 45768 Marl"
04.11.2021,11.30h,Witten Albert-Martmöller-Gymnasium,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Witten Albert-Martmöller-Gymnasium, Oberdorf 9, 58452 Witten"
04.11.2021,9.30h,Witten Albert-Martmöller-Gymnasium,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Witten Albert-Martmöller-Gymnasium, Oberdorf 9, 58452 Witten"
23.09.2021,19.30h,Hameln-Theater,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Hameln-Theater, Rathausplatz 5, 31785 Hameln"
13.11.2021,19.00h,Vreden Theater- und Konzertsaal,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Vreden Theater- und Konzertsaal, Zwillbrocker Straße 13, 48691 Vreden"
28.01.2022,20.00h,Kamen Konzertaula,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Kamen Konzertaula, Hammer Straße 19, 59174 Kamen"
20.02.2022,19.30h,Schüttorf Theater der Obergrafschaft,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Schüttorf Theater der Obergrafschaft, Hermann-Schlikker-Straße 1-3, 48465 Schüttorf"
21.02.2022,19.30h,Herne Kulturzentrum,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Herne Kulturzentrum, Willi-Pohlmann-Platz 1, 44623 Herne"
12.03.2022,19.30h,Monheim Aula am Berliner Ring,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Monheim Aula am Berliner Ring, Berliner Ring 8, 40789 Monheim am Rhein"
08.04.2022,20.00h,Rheinberg Stadthalle,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Rheinberg Stadthalle, Kirchplatz 10, 47495 Rheinberg"
